ticket_id,customer_id,subject,status,priority,category,created_at,sla_due_at,resolved_at,first_response_minutes
T001,C001,登录失败,resolved,p1,auth,2026-07-01 09:00:00,2026-07-01 13:00:00,2026-07-01 11:30:00,10
T002,C002,发票金额不对,resolved,p2,billing,2026-07-01 14:00:00,2026-07-02 14:00:00,2026-07-02 09:00:00,30
T003,C001,接口超时,escalated,p1,api,2026-07-02 08:00:00,2026-07-02 12:00:00,,5
T004,C003,无法重置密码,resolved,p3,auth,2026-07-02 16:00:00,2026-07-04 16:00:00,2026-07-05 10:00:00,120
T005,C004,报表导出乱码,resolved,p2,reporting,2026-07-03 10:00:00,2026-07-04 10:00:00,2026-07-03 18:00:00,45
T006,C005,数据同步延迟,open,p2,integration,2026-07-03 11:00:00,2026-07-04 11:00:00,,60
T007,C002,历史工单迁移丢失,resolved,p1,integration,2026-07-04 09:00:00,2026-07-04 13:00:00,2026-07-04 15:00:00,15
T008,C003,权限申请流程疑问,resolved,p4,access,2026-07-04 15:00:00,2026-07-08 15:00:00,2026-07-06 09:00:00,90
T009,C006,超长排查的网络问题,resolved,p3,network,2026-06-01 08:00:00,2026-06-03 08:00:00,2026-07-11 09:00:00,240
T010,C004,API 限流咨询,resolved,p4,api,2026-07-05 10:00:00,2026-07-09 10:00:00,2026-07-05 14:00:00,20
T011,C001,移动端闪退,open,p1,mobile,2026-07-06 09:30:00,2026-07-06 13:30:00,,8
T012,C005,账单周期问题,resolved,p3,billing,2026-07-06 13:00:00,2026-07-08 13:00:00,2026-07-07 11:00:00,55
T013,C006,新增成员失败,pending_customer,p2,access,2026-07-07 10:00:00,2026-07-08 10:00:00,,35
T014,C003,仪表盘加载慢,resolved,p2,reporting,2026-07-07 16:00:00,2026-07-08 16:00:00,2026-07-08 10:00:00,40
