comment_id,ticket_id,author_type,commented_at
CM001,T001,customer,2026-07-01 09:00:00
CM002,T001,agent,2026-07-01 09:10:00
CM003,T001,agent,2026-07-01 11:20:00
CM004,T002,customer,2026-07-01 14:00:00
CM005,T002,agent,2026-07-02 08:50:00
CM006,T003,customer,2026-07-02 08:00:00
CM007,T003,agent,2026-07-02 08:05:00
CM008,T004,customer,2026-07-02 16:00:00
CM009,T005,agent,2026-07-03 10:45:00
CM010,T007,customer,2026-07-04 09:00:00
CM011,T007,agent,2026-07-04 09:15:00
CM012,T009,agent,2026-06-20 14:00:00
CM013,T011,customer,2026-07-06 09:30:00
CM014,T014,agent,2026-07-07 16:40:00
